Sample,Host_species,LPh1,LPh2,LPh3,LPh4,LPh5,LPh6,LPh7
TW3_9_36,Lobaria japonica,277,159,143,195,170,165,133
TW3_13_4,Lobaria japonica,231,152,104,183,143,161,133
TW3_15_11,Lobaria japonica,252,165,100,183,130,165,151
TW3_15_17,Lobaria japonica,244,161,402,182,163,162,151
TW3_21_14,Lobaria japonica,237,165,100,183,130,165,151
TW3_21_17,Lobaria japonica,217,155,100,199,140,165,155
TW3_21_24,Lobaria japonica,250,152,400,182,140,158,155
TW3_21_4,Lobaria japonica,252,165,100,183,130,165,151
TW3_21_6,Lobaria japonica,252,165,102,183,130,165,151
TW3_23_17,Lobaria japonica,266,161,135,197,170,168,133
TW3_23_8,Lobaria japonica,219,141,102,183,154,168,155
TW3_25_1,Lobaria japonica,237,148,115,237,143,168,151
TW3_25_5,Lobaria japonica,245,152,402,185,143,165,134
TW3_27_14,Lobaria japonica,244,155,100,183,170,161,133
TW3_27_9,Lobaria japonica,254,167,100,183,130,167,151
TW3_26_12,Lobaria orientalis,208,138,100,183,154,158,155
TW3_27_15,Lobaria orientalis,244,155,100,183,170,161,133
TW3_9_13,Lobaria spathulata,245,163,104,174,140,161,133
TW3_6,Dendriscosticta platyphylla,268,150,402,183,143,167,134
TW3_6a,Dendriscosticta platyphylla,268,150,402,183,143,167,134
TW3_6b,Dendriscosticta platyphylla,260,159,138,195,160,165,133
TW3_6_15,Dendriscosticta platyphylla,254,165,100,183,130,165,151
TW3_6_1,Dendriscosticta platyphylloides,256,150,400,182,140,158,155
TW3_6_10,Dendriscosticta platyphylloides,225,148,119,237,143,168,151
TW3_6_13,Dendriscosticta platyphylloides,262,184,122,174,160,150,151
TW3_6_14,Dendriscosticta platyphylloides,254,165,100,183,130,165,151
TW3_6_16,Dendriscosticta platyphylloides,268,150,402,183,143,167,134
TW3_6_18,Dendriscosticta platyphylloides,204,188,402,183,143,165,134
TW3_6_2,Dendriscosticta platyphylloides,247,161,138,195,170,165,133
TW3_6_21,Dendriscosticta platyphylloides,254,150,400,182,140,158,155
TW3_6_4,Dendriscosticta platyphylloides,268,150,402,183,143,167,134
TW3_6_5,Dendriscosticta platyphylloides,268,150,402,183,143,167,134
TW3_6_7,Dendriscosticta platyphylloides,252,150,400,182,140,158,155
TW3_9_1,Dendriscosticta platyphylloides,262,184,122,174,160,150,151
TW3_9_11,Dendriscosticta platyphylloides,252,165,102,183,130,165,151
TW3_9_15,Dendriscosticta platyphylloides,219,148,102,183,147,161,151
TW3_9_17,Dendriscosticta platyphylloides,277,159,143,195,170,165,133
TW3_9_20,Dendriscosticta platyphylloides,252,165,102,183,130,165,151
TW3_9_22,Dendriscosticta platyphylloides,245,157,402,185,133,161,143
TW3_9_24,Dendriscosticta platyphylloides,270,150,402,183,143,167,134
TW3_9_31,Dendriscosticta platyphylloides,252,165,102,183,130,165,151
TW3_9_32,Dendriscosticta platyphylloides,252,165,102,183,130,165,151
TW3_9_33,Dendriscosticta platyphylloides,277,159,143,195,170,165,133
TW3_9_5,Dendriscosticta platyphylloides,225,148,119,237,143,168,151
TW3_9_8,Dendriscosticta platyphylloides,219,148,102,183,147,161,151
TW3_9_9,Dendriscosticta platyphylloides,219,148,102,183,147,161,151
TW3_13_13,Dendriscosticta platyphylloides,217,155,102,199,147,167,155
TW3_13_3,Dendriscosticta platyphylloides,281,178,100,183,189,167,155
TW3_13_6,Dendriscosticta platyphylloides,262,184,122,174,160,150,151
TW3_15_14,Dendriscosticta platyphylloides,219,155,100,199,143,167,155
TW3_15_19,Dendriscosticta platyphylloides,264,161,102,174,136,161,134
TW3_15_2,Dendriscosticta platyphylloides,252,165,100,183,130,165,151
TW3_15_20,Dendriscosticta platyphylloides,242,180,402,174,191,167,153
TW3_15_3,Dendriscosticta platyphylloides,252,167,100,183,130,165,151
TW3_15_9,Dendriscosticta platyphylloides,240,155,102,183,143,161,151
TW3_21,Dendriscosticta platyphylloides,247,150,104,183,143,161,151
TW3_21_10,Dendriscosticta platyphylloides,217,155,100,199,143,165,155
TW3_21_12,Dendriscosticta platyphylloides,258,152,402,183,143,165,134
TW3_21_15,Dendriscosticta platyphylloides,270,161,138,195,170,165,133
TW3_21_16,Dendriscosticta platyphylloides,242,159,135,197,176,167,133
TW3_21_20,Dendriscosticta platyphylloides,217,190,100,183,163,167,133
TW3_21_22,Dendriscosticta platyphylloides,231,157,100,183,150,162,151
TW3_21_23,Dendriscosticta platyphylloides,270,161,138,195,170,165,133
TW3_21_3,Dendriscosticta platyphylloides,250,152,400,182,140,158,155
TW3_21_5,Dendriscosticta platyphylloides,270,161,138,195,170,165,133
TW3_21_7,Dendriscosticta platyphylloides,215,159,100,183,167,161,134
TW3_21_8,Dendriscosticta platyphylloides,250,152,400,182,140,158,155
TW3_23_1,Dendriscosticta platyphylloides,208,138,100,183,154,158,155
TW3_23_10,Dendriscosticta platyphylloides,219,141,100,183,154,168,155
TW3_23_20,Dendriscosticta platyphylloides,233,163,102,183,130,165,151
TW3_23_21,Dendriscosticta platyphylloides,240,165,100,183,130,165,151
TW3_23_7,Dendriscosticta platyphylloides,219,148,100,183,147,161,151
TW3_23_9,Dendriscosticta platyphylloides,219,141,100,183,154,168,155
TW3_24_11,Dendriscosticta platyphylloides,268,161,136,199,170,165,133
TW3_24_12,Dendriscosticta platyphylloides,245,169,100,174,179,165,151
TW3_24_13,Dendriscosticta platyphylloides,268,161,136,199,170,165,133
TW3_24_15,Dendriscosticta platyphylloides,268,161,136,199,170,165,133
TW3_24_17,Dendriscosticta platyphylloides,215,165,402,182,150,172,155
TW3_24_18,Dendriscosticta platyphylloides,208,138,100,183,154,158,155
TW3_24_19,Dendriscosticta platyphylloides,208,138,100,183,154,158,155
TW3_24_20,Dendriscosticta platyphylloides,268,178,100,183,182,167,155
TW3_24_6,Dendriscosticta platyphylloides,213,152,100,183,143,165,151
TW3_24_8,Dendriscosticta platyphylloides,268,161,136,199,170,165,133
TW3_25_11,Dendriscosticta platyphylloides,245,150,400,182,140,158,155
TW3_25_12,Dendriscosticta platyphylloides,237,148,115,237,143,168,151
TW3_25_13,Dendriscosticta platyphylloides,252,165,102,183,130,165,151
TW3_25_2,Dendriscosticta platyphylloides,237,165,100,183,130,165,151
TW3_25_3,Dendriscosticta platyphylloides,237,165,100,183,130,165,151
TW3_25_6,Dendriscosticta platyphylloides,270,152,135,195,170,165,133
TW3_25_7,Dendriscosticta platyphylloides,252,163,122,199,163,168,133
TW3_25_9,Dendriscosticta platyphylloides,217,159,100,183,160,167,133
TW3_26_13,Dendriscosticta platyphylloides,203,159,108,183,130,165,151
TW3_26_14,Dendriscosticta platyphylloides,219,173,100,183,160,150,133
TW3_26_15,Dendriscosticta platyphylloides,268,150,402,183,143,167,134
TW3_26_3,Dendriscosticta platyphylloides,268,150,402,183,143,167,134
TW3_26_7,Dendriscosticta platyphylloides,231,159,100,183,150,162,151
TW3_27_11,Dendriscosticta platyphylloides,237,148,119,237,143,168,151
TW3_27_12,Dendriscosticta platyphylloides,237,148,119,237,143,168,151
TW3_27_13,Dendriscosticta platyphylloides,237,148,119,237,143,168,151
TW3_27_1a,Dendriscosticta platyphylloides,235,173,102,174,176,162,151
TW3_27_1b,Dendriscosticta platyphylloides,235,146,110,270,143,165,151
TW3_27_7,Dendriscosticta platyphylloides,237,148,119,237,143,168,151
TW3_27_8,Dendriscosticta platyphylloides,237,148,119,237,143,168,151
TW3_6_20,Dendriscosticta praetextata,219,148,102,183,147,161,151
TW3_6_3,Dendriscosticta praetextata,204,192,402,183,140,165,134
TW3_9_23,Dendriscosticta praetextata,268,150,402,183,143,167,134
TW3_9_37,Dendriscosticta praetextata,217,157,100,199,143,165,155
TW3_9_7,Dendriscosticta praetextata,219,148,100,183,147,161,151
TW3_9_3,Dendriscosticta praetextata,252,165,102,183,130,165,151
TW3_13,Dendriscosticta praetextata,281,178,100,183,189,167,155
TW3_13a,Dendriscosticta praetextata,231,152,104,183,143,161,133
TW3_13_10,Dendriscosticta praetextata,204,188,402,183,143,167,134
TW3_15,Dendriscosticta praetextata,219,148,102,183,147,161,151
TW3_23_4,Dendriscosticta praetextata,208,138,100,183,154,158,155
TW3_24_21,Dendriscosticta praetextata,245,152,402,183,143,165,134
TW3_25,Dendriscosticta praetextata,237,165,100,183,130,165,151
TW3_26_2,Dendriscosticta praetextata,268,150,402,183,143,167,134
TW3_27_16,Dendriscosticta praetextata,254,167,100,183,130,167,151
TW3_27_3,Dendriscosticta praetextata,254,167,102,183,130,167,151
