Population,Sample,LPu15,LPu23,LPu24,LPu25_12,LPu28,MS4,LPu03,LPu09,LPh1,LPh2,LPh3,LPh4,LPh5,LPh6,LPh7,x,y
2,CHA23,181,312,239,226,270,184,187,209,223,157,102,199,155,121,198,-491.0898842,-177.6882331
2,CHA24,181,312,239,236,262,233,187,182,231,157,102,202,157,121,150,-493.0898842,-174.2241315
2,CHA25,159,312,239,238,268,253,187,200,219,157,102,195,155,121,198,-593.0898842,-347.4292122
2,CHA28,169,312,239,218,270,184,191,209,219,157,102,199,155,121,204,-710.2586622,-612.3091268
2,CHA29,157,312,239,228,270,184,187,209,223,157,102,201,155,121,198,-960.2586622,-612.3091268
2,CHA30a,165,312,239,226,270,184,187,209,221,157,102,197,159,121,207,-960.2586622,-612.3091268
2,CHA31,157,312,239,256,270,238,191,200,229,157,102,206,146,121,150,-963.0777401,-613.3351872
3,CHB01a,163,312,239,234,274,184,189,182,219,157,102,199,157,121,198,0,0
3,CHB01b,163,312,239,234,274,184,189,182,219,157,102,199,157,121,198,0,0
3,CHB02a,157,312,239,248,270,184,187,326,225,157,102,199,161,121,150,12.75020865,-2.536174186
3,CHB02b,157,312,239,248,270,184,187,326,225,157,102,199,161,121,150,12.75020865,-2.536174186
3,CHB02c,157,312,239,248,270,184,187,326,225,157,102,201,161,121,150,12.75020865,-2.536174186
3,CHB02d,157,312,239,248,270,184,187,326,225,157,102,201,161,121,150,12.75020865,-2.536174186
3,CHB03a,165,312,239,228,270,184,187,362,221,158,102,197,155,121,204,-0.711023574,65.13801016
3,CHB03b,165,312,239,228,270,184,187,362,221,158,102,197,155,121,204,-0.711023574,65.13801016
3,CHB03c,165,312,239,228,270,184,187,362,221,158,102,197,155,121,204,-0.711023574,65.13801016
3,CHB03d,165,312,239,228,270,184,187,362,221,158,102,197,155,121,204,-0.711023574,65.13801016
3,CHB03e,165,312,239,228,270,184,187,362,221,158,102,197,155,121,204,-0.711023574,65.13801016
3,CHB05a,163,312,239,236,270,238,187,209,227,167,102,204,152,121,195,33.52438958,144.5955912
3,CHB05b,163,312,239,236,270,238,187,209,227,167,102,204,152,121,195,33.52438958,144.5955912
3,CHB05c,163,312,239,236,270,238,187,209,227,167,102,204,152,121,195,33.52438958,144.5955912
3,CHB05d,163,312,239,236,270,238,187,209,227,167,102,204,152,121,195,33.52438958,144.5955912
3,CHB05e,163,312,239,236,270,238,187,209,227,167,102,204,152,121,195,33.52438958,144.5955912
3,CHB05f,163,312,239,236,272,238,187,209,227,167,102,204,152,121,195,33.52438958,144.5955912
3,CHB05g,163,312,239,236,272,238,187,209,227,167,102,204,152,121,195,33.52438958,144.5955912
3,CHB06a,165,312,239,238,262,184,187,209,233,165,102,202,167,127,150,53.52438958,144.5955912
3,CHB06b,165,312,239,238,262,184,187,209,233,165,102,202,167,127,150,53.52438958,144.5955912
3,CHB07a,157,312,239,234,262,184,187,209,221,157,102,197,146,121,198,54.79861241,157.5329926
3,CHB07b,157,312,239,234,262,184,187,209,221,157,102,197,146,121,198,54.79861241,157.5329926
3,CHB07c,157,312,239,234,262,184,187,209,221,157,102,197,146,121,198,54.79861241,157.5329926
3,CHB07d,157,312,239,234,262,184,187,209,221,157,102,197,146,121,198,54.79861241,157.5329926
3,CHB07e,157,312,239,234,262,184,187,209,221,157,102,197,146,121,198,54.79861241,157.5329926
3,CHB08a,167,312,239,224,270,184,187,200,219,157,104,197,152,121,179,-52.5010647,-381.8989116
3,CHB08b,163,312,239,230,270,204,187,182,225,165,102,202,159,133,150,-52.5010647,-381.8989116
3,CHB08c,165,312,239,321,270,184,187,209,219,158,102,183,143,121,198,-52.5010647,-381.8989116
3,CHB08d,167,312,239,224,270,184,187,200,231,165,102,202,165,127,150,-52.5010647,-381.8989116
3,CHB08e,167,312,239,224,270,184,187,200,231,165,102,202,165,127,150,-52.5010647,-381.8989116
3,CHB08f,165,312,239,228,270,184,187,362,221,158,102,197,155,121,204,-52.5010647,-381.8989116
3,CHB08g,165,312,239,228,270,184,187,362,221,158,102,197,155,121,204,-52.5010647,-381.8989116
3,CHB08h,165,312,239,228,270,184,187,362,221,158,102,197,155,121,204,-52.5010647,-381.8989116
3,CHB09a,163,312,239,230,270,204,187,182,225,165,102,202,159,133,150,-158.3316164,-325.3313032
3,CHB09b,167,312,239,234,270,238,187,182,231,157,102,206,155,121,150,-158.3316164,-325.3313032
3,CHB09c,167,312,239,234,270,238,187,182,231,157,102,206,155,121,150,-158.3316164,-325.3313032
3,CHB09d,163,312,239,230,270,204,187,182,225,165,102,202,159,133,150,-158.3316164,-325.3313032
3,CHB09e,167,312,239,234,270,238,187,182,231,157,102,206,155,121,150,-158.3316164,-325.3313032
3,CHB09f,163,312,239,226,270,184,187,209,221,165,104,199,157,121,150,-158.3316164,-325.3313032
3,CHB09g,167,312,239,234,270,238,187,182,231,157,102,206,155,121,150,-158.3316164,-325.3313032
3,CHB09h,157,312,239,234,262,184,187,209,221,157,102,197,146,121,198,-158.3316164,-325.3313032
4,CHC01a,167,312,239,248,276,238,187,209,229,157,102,202,143,121,150,0,0
4,CHC02a,177,295,239,238,287,238,187,209,221,157,104,206,157,121,150,-0.739103626,-0.306146746
4,CHC03a,177,295,239,238,287,238,187,209,221,157,104,206,157,121,150,-1.304789051,0.259538679
4,CHC04a,193,295,239,379,322,238,187,182,221,157,102,208,161,121,150,-1.304789051,-21.74046132
4,CHC05a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-4.133216176,-18.9120342
4,CHC09a,165,312,239,260,270,184,191,416,219,165,102,202,157,127,219,-105.612939,-59.51443467
4,CHC10a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-105.4568668,-58.72980644
4,CHC11a,165,312,239,260,270,184,191,416,219,165,102,202,157,127,219,-104.5329873,-59.11248987
4,CHC12a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-99.55810263,-71.1229238
4,CHC13a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-97.3358217,-74.44880225
4,CHC14a,165,312,239,260,270,184,191,416,219,165,102,202,159,127,219,-96.95313827,-75.37268178
4,CHC15a,181,297,239,286,291,238,187,182,223,157,102,199,159,121,150,-575.4233061,-220.5150204
4,CHC16b,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-586.7370146,-231.8287289
4,CHC16c,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-586.7370146,-231.8287289
4,CHC16d,181,295,239,246,326,238,187,182,221,157,102,204,161,121,150,-586.7370146,-231.8287289
4,CHC16e,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-586.7370146,-231.8287289
4,CHC17a,193,295,239,407,322,238,187,182,219,157,320,208,161,121,150,-585.7418299,-231.7307118
4,CHC19a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-583.7731059,-224.4287425
4,CHC20a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-588.3799115,-271.2024246
4,CHC21a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-592.2689031,-277.0227119
4,CHC22a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-601.0959706,-278.7785248
4,CHC23a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-612.865394,-281.1196087
4,CHC24a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-616.5609121,-282.6503424
4,CHC25a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-612.3183415,-274.713051
4,CHC26a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-605.0959285,-263.9039461
4,CHC27a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-609.6881296,-274.9905005
4,CHC29a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-614.166457,-280.2898769
4,CHC30a,181,295,239,246,326,238,187,182,221,157,102,204,159,121,150,-620.2946146,-291.7548533
5,CHM01a,163,312,239,226,276,238,187,389,235,165,104,210,152,121,150,0,0
5,CHM03a,165,312,239,282,270,184,187,209,223,157,102,202,159,121,150,-10.22482878,-25.96659998
5,CHM04a,165,312,239,226,270,184,187,182,221,157,102,197,155,121,198,-10.22482878,-33.96659998
5,CHM05a,165,312,239,226,270,184,187,182,221,157,102,197,155,121,198,-4.407937492,-37.86066929
5,CHM07a,163,312,239,238,270,233,187,182,223,157,102,197,155,121,198,1.408953793,-41.7547386
5,CHM08a,165,312,239,224,270,238,187,209,221,167,102,202,155,121,150,1.408953793,-50.7547386
5,CHM08b,165,312,239,228,270,184,187,209,227,167,102,202,157,127,150,1.408953793,-50.7547386
5,CHM08d,165,312,239,228,270,184,187,209,227,167,102,202,157,127,150,1.408953793,-50.7547386
5,CHM08e,165,312,239,228,270,184,187,209,227,167,102,202,157,127,150,1.408953793,-50.7547386
5,CHM09a,165,312,239,224,270,238,187,209,221,167,102,202,155,121,150,1.408953793,-55.7547386
5,CHM10a,165,312,239,238,270,253,187,407,219,162,102,204,155,121,150,1.797422495,-57.71664891
5,CHM11a,165,312,239,262,270,184,191,209,221,165,102,202,155,121,150,2.90711135,-59.38055715
5,CHM11b,165,312,239,236,270,238,187,209,219,161,104,197,161,121,204,2.90711135,-59.38055715
5,CHM11e,165,312,239,224,270,238,187,209,221,167,102,202,155,121,150,2.90711135,-59.38055715
5,CHM14c,165,312,239,294,270,184,187,407,221,157,102,199,155,121,195,6.775793904,-63.41339287
5,CHM14e,165,312,239,238,270,253,187,407,219,162,102,204,155,121,150,6.775793904,-63.41339287
5,CHM15a,165,312,239,224,270,238,187,209,221,167,102,202,155,121,150,3.919506595,-66.89069395
5,CHM16a,157,312,239,244,270,238,187,245,219,157,102,202,163,118,150,3.284776082,-67.66342753
5,CHM17a,165,312,239,226,270,184,187,182,221,157,102,197,155,121,198,1.37135892,-72.28282519
5,CHM18a,165,312,239,226,270,184,187,182,221,157,102,197,155,121,198,-9.153590505,-69.08510106
5,CHM19a,163,312,239,226,276,238,187,200,221,157,102,197,155,121,198,-9.153590505,-68.08510106
5,CHM20a,163,312,239,226,276,238,187,200,221,157,102,197,155,121,198,-7.431515059,-63.92764316
5,CHM21a,165,312,239,224,270,238,187,209,221,167,102,202,155,121,150,-15.04828122,-54.65484028
5,CHM22a,159,312,239,228,270,238,187,182,219,165,102,202,155,121,140,-15.63377862,-48.68347588
5,CHM23a,179,297,239,220,319,238,187,209,219,157,102,210,155,121,150,19.01445366,-83.33170816
5,CHM23b,193,295,239,315,324,238,187,182,219,165,102,202,141,121,150,19.01445366,-83.33170816
5,CHM23c,193,295,239,315,324,238,187,182,219,165,102,202,141,121,150,19.01445366,-83.33170816
5,CHM23d,179,297,239,220,319,238,187,209,219,157,102,210,155,121,150,19.01445366,-83.33170816
5,CHM24a,167,312,239,234,270,184,187,209,221,165,102,204,157,121,150,69.77105106,-78.35498027
5,CHM24b,165,312,239,228,270,184,187,209,227,167,102,202,157,127,150,69.77105106,-78.35498027
5,CHM24c,165,312,239,234,276,238,187,182,219,162,102,202,155,121,150,69.77105106,-78.35498027
5,CHM24d,179,297,239,220,319,238,187,209,219,157,102,210,155,121,150,69.77105106,-78.35498027
5,CHM25a,179,297,239,221,324,238,187,182,223,161,101,220,138,137,157,77.60889683,-39.13039393
5,CHM25b,179,297,239,221,324,238,187,182,223,161,101,220,138,137,157,77.60889683,-39.13039393
5,CHM26a,179,297,239,221,324,238,187,182,223,161,101,220,138,137,157,36.60889683,-39.13039393
5,CHM26b,179,297,239,221,324,238,187,182,223,161,101,220,138,137,157,36.60889683,-39.13039393
5,CHM26c,179,297,239,221,324,238,187,182,223,161,101,220,138,137,157,36.60889683,-39.13039393
5,CHM26d,179,297,239,221,324,238,187,182,223,161,101,220,138,137,157,36.60889683,-39.13039393
5,CHM26e,167,312,239,234,270,184,187,209,221,165,102,204,157,121,150,36.60889683,-39.13039393
5,CHM27a,165,312,239,234,276,238,187,209,221,162,102,208,155,121,150,182.327338,48.42607881
5,CHM28a,157,312,239,244,270,238,187,245,219,157,102,202,163,118,150,173.7810265,91.58810564
5,CHM29a,163,312,239,228,270,184,187,209,219,157,102,199,165,121,198,173.7810265,59.58810564
5,CHM29b,165,312,239,228,270,238,187,407,221,157,102,197,155,121,198,173.7810265,59.58810564
6,CHN01a,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,0,0
6,CHN02a,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,-6.982035645,-8.500069308
6,CHN03a,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,-7.231621882,-8.666522637
6,CHN04a,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,-8.390722242,-7.714426867
6,CHN05a,163,312,239,244,270,238,187,209,223,157,102,199,165,121,201,-10.14721444,10.19966633
6,CHN06a,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,-26.41067041,-6.063789635
6,CHN07a,163,312,239,226,270,238,187,488,219,157,102,197,157,121,182,-34.91073971,-13.04582528
6,CHN08a,163,312,239,236,270,238,189,389,219,165,102,201,155,121,160,-56.0499731,-44.62323511
6,CHN09a,163,312,239,236,270,238,189,389,219,165,102,201,155,121,160,-56.0499731,-44.32323511
6,CHN10a,173,312,239,222,268,233,189,182,223,167,102,202,148,121,150,51.81763934,-65.87731098
6,CHN12a,163,312,239,244,270,238,187,209,223,157,102,199,165,121,201,53.99473892,-65.72286546
6,CHN13a,163,312,239,244,270,238,187,209,223,157,102,199,165,121,201,66.45950596,-74.06729969
6,CHN14a,163,312,239,244,270,238,187,209,223,157,102,199,165,121,201,64.50004451,-83.87344627
6,CHN17a,163,312,239,244,270,238,187,209,223,157,102,199,165,121,201,90.56392728,-84.49270745
6,CHN18a,165,312,239,224,276,184,187,209,219,157,106,197,155,121,185,96.74579587,-79.41486334
6,CHN20a,167,312,239,236,270,184,187,209,223,157,102,195,155,121,201,96.74579587,-110.3242063
6,CHN20b,167,312,239,236,270,184,187,209,223,157,102,195,155,121,201,96.74579587,-110.3242063
6,CHN21a,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,94.39073646,-114.7348406
6,CHN21b,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,94.39073646,-114.7348406
6,CHN21c,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,94.39073646,-114.7348406
6,CHN21d,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,94.39073646,-114.7348406
6,CHN22a,185,312,239,224,270,238,187,182,219,158,102,199,157,121,198,81.25426571,-125.5252593
6,CHN22b,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,81.25426571,-125.5252593
6,CHN22c,185,312,239,224,270,238,187,182,219,158,102,199,157,121,198,81.25426571,-125.5252593
6,CHN22d,163,312,239,226,270,238,187,488,219,157,102,197,157,121,182,81.25426571,-125.5252593
6,CHN22e,185,312,239,224,270,238,187,182,219,161,102,199,157,121,198,81.25426571,-125.5252593
6,CHN23a,157,312,239,232,270,238,187,200,219,157,102,197,157,124,189,427.7090904,17.9810278
6,CHN24a,157,312,239,232,270,238,187,200,219,157,102,197,157,124,189,434.7801582,25.05209561
6,CHN25a,163,312,239,228,270,184,187,209,217,157,102,199,165,121,198,404.3745666,55.4576872
6,CHN26a,163,312,239,228,270,184,187,209,217,157,102,199,165,121,198,400.5108988,52.28403464
6,CHN27a,163,312,239,228,270,184,187,209,217,157,102,201,165,121,198,443.9332368,70.27015596
6,CHN28a,163,312,239,228,270,184,187,209,217,157,102,199,165,121,198,455.8759656,69.09916116
6,CHN29a,163,312,239,242,276,184,187,407,219,157,102,197,150,121,198,452.5788824,62.9242731
6,CHN30a,163,312,239,278,262,184,187,209,229,157,104,199,155,124,189,440.8035854,40.87110145
6,CHN31a,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,436.1671839,37.06271837
6,CHN31b,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,436.1671839,37.06271837
6,CHN31c,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,436.1671839,37.06271837
6,CHN31d,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,436.1671839,37.06271837
6,CHN31e,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,436.1671839,37.06271837
6,CHN32a,163,312,239,276,270,184,187,209,219,157,102,201,159,121,198,436.7526813,31.09135397
6,CHN32b,163,312,239,276,270,184,187,209,219,157,102,201,159,121,198,436.7526813,31.09135397
6,CHN32c,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,436.7526813,31.09135397
6,CHN32d,163,312,239,276,270,184,187,209,219,157,102,201,159,121,198,436.7526813,31.09135397
6,CHN32e,163,312,239,276,270,184,187,209,219,157,102,201,159,121,198,436.7526813,31.09135397
6,CHN32f,163,312,239,276,270,184,187,209,219,157,102,201,159,121,198,436.7526813,31.09135397
6,CHN33a,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,436.5981346,30.96440787
6,CHN33b,163,312,239,276,270,184,187,209,219,157,102,201,159,121,198,436.5981346,30.96440787
6,CHN33c,175,312,239,222,270,184,187,209,223,157,102,197,155,121,198,436.5981346,30.96440787
6,CHN33d,157,312,239,260,270,184,187,209,219,157,102,202,161,121,150,436.5981346,30.96440787
7,CHO.01a,159,312,239,228,270,184,187,209,225,165,102,197,155,121,167,0,0
7,CHO.01b,159,312,239,228,270,184,187,209,223,165,102,197,155,121,167,0,0
7,CHO.01c,163,312,239,226,276,238,187,200,221,157,102,197,155,121,198,0,0
7,CHO.01d,159,312,239,228,270,184,187,209,223,165,102,199,155,121,167,0,0
7,CHO.01e,159,312,239,228,270,184,187,209,223,165,102,197,155,121,167,0,0
7,CHO.02a,159,312,239,228,270,184,187,209,223,165,102,197,155,121,167,0,0.7
7,CHO.02b,159,312,239,228,270,184,187,209,223,165,102,197,155,121,167,0,0.7
7,CHO.02c,159,312,239,228,270,184,187,209,223,165,102,197,155,121,167,0,0.7
7,CHO.02d,159,312,239,228,270,184,187,209,223,165,102,197,155,121,167,0,0.7
7,CHO.02e,159,312,239,228,270,184,187,209,223,165,102,197,155,121,167,0,0.7
7,CHO.02f,159,312,239,228,270,184,187,209,223,165,102,197,157,121,167,0,0.7
7,CHO.03a,159,312,239,228,270,184,187,209,223,165,102,197,155,121,167,3,0.7
7,CHO.03b,185,312,239,224,270,184,187,209,219,165,102,201,155,121,160,3,0.7
7,CHO.03c,159,312,239,228,270,184,187,209,223,165,102,197,155,121,167,3,0.7
7,CHO.03d,159,312,239,228,270,184,187,209,223,165,102,197,155,121,167,3,0.7
7,CHO.03e,185,312,239,224,270,233,187,182,219,157,102,185,155,124,154,3,0.7
7,CHO.04a,185,312,239,224,270,184,187,209,219,165,102,201,155,121,160,3,1.4
7,CHO.04b,163,312,239,226,276,238,187,200,221,157,102,197,155,121,198,3,1.4
7,CHO.04c,163,312,239,226,276,238,187,200,221,157,102,197,155,121,198,3,1.4
7,CHO.04d,185,312,239,224,270,184,187,209,219,165,102,201,155,121,160,3,1.4
7,CHO.04e,185,312,239,224,270,184,187,209,219,165,102,201,155,121,160,3,1.4
7,CHO.04f,163,312,239,226,276,238,187,200,221,157,102,197,155,121,198,3,1.4
7,CHO.04g,163,312,239,226,276,238,187,200,221,157,102,197,155,121,198,3,1.4
7,CHO.04h,185,312,239,224,270,184,187,209,219,165,102,201,155,121,160,3,1.4
7,CHO.05a,165,312,239,230,270,184,187,182,221,157,102,199,169,121,150,3,1.9
7,CHO.05b,165,312,239,230,270,184,187,182,221,157,102,199,169,121,150,3,1.9
7,CHO.05c,159,312,239,228,270,184,187,209,223,165,102,199,155,121,167,3,1.9
7,CHO.05d,165,312,239,230,270,184,187,182,221,157,102,199,169,121,150,3,1.9
7,CHO.06a,159,312,239,228,270,184,187,209,223,165,102,199,155,121,167,10.07106781,8.971067812
7,CHO.06b,159,312,239,228,270,184,187,209,223,165,102,199,155,121,167,10.07106781,8.971067812
7,CHO.06c,159,312,239,228,270,184,187,209,223,165,102,199,155,121,167,10.07106781,8.971067812
7,CHO.06d,159,312,239,228,270,184,187,209,223,165,102,199,155,121,167,10.07106781,8.971067812
7,CHO.07a,159,312,239,228,270,184,187,209,223,165,102,197,155,121,167,13.07106781,8.971067812
8,CHS_03a,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,0,0
8,CHS_04a,173,312,239,226,262,233,187,209,227,157,102,202,169,124,150,31.19,1.23
8,CHS_05a,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,31.62,0.98
8,CHS_06a,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,25.98,3.03
8,CHS_07a,165,312,239,252,274,238,187,209,211,157,102,204,141,127,154,-2,3.03
8,CHS_08a,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-2.54,3.03
8,CHS_09a,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-2.54,1.03
8,CHS_11a,173,312,239,226,262,233,187,209,229,157,102,202,159,124,150,-2.54,-0.97
8,CHS_11b,173,312,239,226,262,233,187,209,229,157,102,202,159,124,150,-2.54,-0.97
8,CHS_12a,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-2.54,0.53
8,CHS_12b,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-2.54,0.53
8,CHS_12c,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-2.54,0.53
8,CHS_12d,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-2.54,0.53
8,CHS_12e,185,312,239,218,274,238,187,182,219,157,104,197,150,121,157,-2.54,0.53
8,CHS_12f,173,312,239,226,262,233,187,209,229,157,102,202,159,124,150,-2.54,0.53
8,CHS_12g,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-2.54,0.53
8,CHS_13a,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-2.89,0.73
8,CHS_14b,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-2.46,0.48
8,CHS_14f,173,312,239,226,262,233,187,209,229,157,102,202,159,124,150,-2.46,0.48
8,CHS_15a,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-3.33,0.98
8,CHS_15b,173,312,239,226,262,233,187,209,227,157,102,202,159,124,157,-3.33,0.98
8,CHS_16a,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-4.2,1.48
8,CHS_16d,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-4.2,1.48
8,CHS_16e,173,312,239,226,262,233,187,209,229,157,102,202,159,124,150,-4.2,1.48
8,CHS_16f,185,312,239,218,274,238,187,182,219,157,104,197,150,121,157,-4.2,1.48
8,CHS_16g,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-4.2,1.48
8,CHS_16h,157,312,239,230,274,238,187,182,219,157,102,197,148,121,204,-4.2,1.48
8,CHS_16i,173,312,239,226,262,233,187,209,229,157,102,202,159,124,157,-4.2,1.48
8,CHS_17a,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-4.2,2.48
8,CHS_17b,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-4.2,2.48
8,CHS_17c,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-4.2,2.48
8,CHS_17d,173,312,239,226,262,233,187,209,227,157,102,202,159,124,150,-4.2,2.48
