Country,Population,Nearby_locality,Collector,Latitude,Longitude,tot_samples_analysed,Unique_fungal_algal_MLGs
Italy,IT,Vallombrosa,"9,27,46",43.86,11.56,8,8
Latvia,LTA,Sakimo Miskas,"25,46,53",55.04,25.46,31,27
Latvia,LTB,Skerdimu Miskas,"25,46,53",54.95,25.32,13,11
Latvia,LTC,Girijos Miskas,"25,46,53",55.04,25.46,19,18
Macedonia,MKA,Izvar,"1,46,14,43,",41.48,20.78,26,23
Macedonia,MKB,Pljuska,"14,43,46",40.96,20.89,30,29
Macedonia,MKD,Visni,"14,43,46",41.20,20.59,24,13
Macedonia,MKF,Gostivar,"14,43,46",41.71,20.76,15,11
Montenegro,MOA,Kraljiske Bare,46,42.74,19.68,24,20
Montenegro,MOB,Biogradsko Jezero,46,42.90,19.60,27,26
Montenegro,MOD,Rudanci,46,43.01,19.43,13,13
Montenegro,MOE,Tara kanjon,46,43.13,19.31,22,17
Montenegro,MOF,Gornja Bukovica,46,43.03,19.17,5,5
Montenegro,MOG,Savnik,46,42.90,19.08,16,16
Montenegro,MOH,Dolovi,46,42.40,18.84,30,27
Montenegro,MOK,Crkvice,46,42.56,18.61,27,26
Montenegro,MOL,Rosaje,46,42.84,20.04,13,12
Norway,MO1,Innerdalsvatna,46,62.71,8.73,19,16
Norway,MO2,Tingvoll,46,62.85,8.17,17,7
Norway,NA1,Skjomen Skievva,"18,46",68.39,17.26,31,14
Norway,NT,Hammer,61,64.22,12.05,31,21
Portugal,PO,Alvados,"21,46",39.55,-8.77,54,22
Portugal,PO2,Santarem,46,39.49,-8.88,32,21
Portugal,PO7,Vinhais,"30,46",41.83,-6.82,89,61
Russia,RBE,Ergoza,"22,23,24,56",53.32,56.60,40,25
Russia,RBI,Inzer,"22,23,24,56",54.18,57.61,45,37
Russia,RBK,Kaderali,"22,23,24,56",53.31,56.66,40,27
Russia,RBR,Revet,"22,23,24,56",54.18,57.64,38,28
Russia,RBS,Seleuk,"22,23,24,56",53.34,56.53,42,23
Russia,RBT1,Tulma,"22,23,24,56",54.30,57.63,48,34
Russia,RBT2,Tulma,"22,23,24,56",54.30,57.64,14,11
Russia,RII,Iremel,"24,46,56",54.56,58.83,82,65
Russia,RIJ,Jurjusan River,"23,24,46,56",54.57,58.68,6,2
Russia,RIK,Karagaika River,"23,24,46,56",54.59,58.80,19,15
Russia,RIN,Nurgush,"23,24,46,56",54.64,58.80,18,12
Russia,RM,Malyi Patok river,"36,5",64.32,59.07,40,37
Russia,RNB,Basa Iliicha,"7,24,54",61.76,59.84,34,34
Russia,RNE,Ozero Elesinskoe,"7,24,54",61.43,60.13,38,38
Russia,RNL1,Lozva River,"7,24,54",61.82,59.89,40,38
Russia,RNL3,Lozva River,"7,24,54",61.61,60.02,13,13
Russia,RNL4,Lozva River,24,61.57,60.04,5,5
Russia,RNN,Niznee Lake,24,60.48,59.97,40,33
Russia,RNO,Ostanec,"7,24,54",61.30,60.17,31,31
Russia,RNP,Peshera,24,61.64,59.98,15,15
Russia,RNS,Ushminskay Shaitan Yama,24,61.46,60.06,30,26
Russia,RNT,Toshimka River,24,61.37,59.96,5,5
Russia,RZ,Ilych River,"36,5",62.43,58.52,41,40
Slovenia,SL4,Kozarisce,"9,27,46",45.68,14.47,18,7
Slovenia,SL5,Kras,"9,27,46",45.69,13.94,18,5
Slovenia,SL6,Kozarisce,"9,27,46",45.66,14.47,6,5
Slovenia,SL7,Kozarisce,"27,46",45.64,14.47,66,46
Spain,EC,Puerto de Galis,46,36.61,-5.50,14,7
Spain,EFU,Fuentcaliente,"46,47",38.44,-4.34,51,30
Spain,EG,Serra de Ancares,30,42.86,-6.86,43,33
Spain,EGR,El Bosque,"46,47",36.77,-5.42,36,23
Spain,EL,Portillo de Lunada,6,43.17,-3.64,68,12
Spain,EM,Sauceda,46,36.52,-5.59,47,29
Spain,EP2,Olague,6,42.96,-1.93,13,6
Spain,EP3,Santuario de San Miguel de Aralar,6,42.96,-1.98,37,32
Spain,ER,La Rioja,32,42.12,-2.67,31,21
Spain,ERO,Torrecilla,"46,47",36.69,-5.02,61,20
Spain,ES,Riofrio de Riaza,"34,45,46",41.33,-3.48,63,26
Sweden,SF1,Rusarebo,12,57.14,14.17,31,25
Sweden,SN4,Koikul,12,66.35,20.55,33,15
Sweden,SO,Vindeln,"12,29,46",64.20,19.73,20,19
Sweden,SU1,Strömsholm,12,59.48,16.22,27,22
Switzerland,B,Vordemwald,46,47.29,7.89,43,19
Switzerland,CHA,Brienz,46,46.72,8.02,30,24
Switzerland,CHB,Basadingen,16,47.65,8.75,44,15
Switzerland,CHC,Villeret,16,47.13,7.02,30,11
Switzerland,CHG,Grindelwald,16,46.68,8.15,19,10
Switzerland,CHM,Bonaudon,16,46.44,7.01,46,23
Switzerland,CHN,Niederurnen,16,47.13,8.97,53,19
Switzerland,CHO,Melchtal,46,46.82,8.28,34,8
Switzerland,CHS,Val d'Uina,46,46.81,10.38,36,9
Switzerland,CHV1,Vergeletto,46,46.22,8.62,30,15
Switzerland,CHW,Muotatal,"16,38",46.99,8.83,33,21
Tunisia,TK,Ain Draham,60,36.79,8.69,53,30
Turkey,TU,Ayder,"10,11,28,35",40.96,41.12,14,11
Ukraine,CA,Mt Cheremkha,17,49.03,22.68,53,48
